arac_yasi,km,yillik_km,hasar_skoru,motor_hacmi_cc,motor_gucu_hp,guc_hacim_orani,cekis_enc,kimden_galeri,kimden_bayi,agir_hasarli_evet,takasa_uygun_evet,marka_enc,seri_enc,yakit_tipi_enc,vites_tipi_enc,kasa_tipi_enc,renk_enc,arac_durumu_enc,fiyat_log,fiyat
1.0,9000.0,9000.0,0,1700.0,225.0,0.1323529411764706,1,1,0,0,1,62,456,2,1,4,21,3,14.678400935052153,2370000.0
1.0,6001.0,6001.0,0,1900.0,225.0,0.11842105263157894,1,1,0,0,1,62,456,2,1,4,13,3,14.719729113462378,2470000.0
1.0,16000.0,16000.0,0,1300.0,225.0,0.17307692307692307,1,1,0,0,1,62,456,2,1,4,18,3,14.70134249472477,2425000.0
1.0,6001.0,6001.0,0,1700.0,225.0,0.1323529411764706,1,1,0,0,1,62,456,2,1,4,21,3,14.690562958662095,2399000.0
1.0,7000.0,7000.0,0,1500.0,225.0,0.15,1,1,0,0,0,62,456,2,1,4,21,3,14.637491049927531,2275000.0
1.0,6800.0,6800.0,0,1500.0,225.0,0.15,1,1,0,0,1,62,456,2,1,4,13,3,14.630875813726247,2260000.0
1.0,13000.0,13000.0,1,1300.0,225.0,0.17307692307692307,1,1,0,0,1,62,456,2,1,4,6,3,14.630433238123791,2259000.0
1.0,15000.0,15000.0,0,1300.0,225.0,0.17307692307692307,1,1,0,0,1,62,456,2,1,4,5,3,14.64798523871695,2299000.0
1.0,6001.0,6001.0,0,1300.0,225.0,0.17307692307692307,1,1,0,0,1,62,456,2,1,4,21,3,14.659231027111028,2325000.0
1.0,6001.0,6001.0,0,1300.0,225.0,0.17307692307692307,1,1,0,0,1,62,456,2,1,4,5,3,14.646243837206535,2295000.0
1.0,6001.0,6001.0,0,1500.0,225.0,0.15,1,1,0,0,1,62,456,2,1,4,5,3,14.624216524592692,2245000.0
1.0,6001.0,6001.0,0,1500.0,225.0,0.15,1,1,0,0,1,62,456,2,1,4,13,3,14.621093614681433,2238000.0
1.0,9500.0,9500.0,0,1900.0,225.0,0.11842105263157894,1,1,0,0,1,62,456,2,1,4,21,3,14.633085758400277,2265000.0
1.0,6100.0,6100.0,0,1500.0,225.0,0.15,1,1,0,0,0,62,456,2,1,4,5,3,14.72175135802525,2475000.0
1.0,6001.0,6001.0,0,1500.0,225.0,0.15,1,1,0,0,1,62,456,2,1,4,21,3,14.669926311652166,2350000.0
1.0,6001.0,6001.0,0,1500.0,225.0,0.15,1,1,0,0,1,62,456,2,1,4,21,3,14.731401609977073,2499000.0
1.0,8000.0,8000.0,0,1300.0,225.0,0.17307692307692307,1,1,0,0,1,62,456,2,1,4,13,3,14.946912992035967,3100000.0
1.0,6050.0,6050.0,0,1900.0,225.0,0.11842105263157894,1,1,0,0,0,62,456,2,1,4,13,3,14.725783619927272,2485000.0
5.0,112000.0,22400.0,0,1798.0,50.0,0.027808676307007785,0,0,0,0,0,66,373,3,1,4,6,3,14.253766134056512,1550000.0
28.0,155000.0,5535.714285714285,8,1332.0,75.0,0.05630630630630631,0,0,0,0,0,66,446,0,0,3,2,3,12.628070334272698,305000.0
16.0,289500.0,18093.75,3,1329.0,100.0,0.07524454477050414,0,0,0,0,0,66,479,0,0,4,18,3,13.25339339419516,570000.0
9.0,197000.0,21888.88888888889,5,1598.0,112.0,0.07008760951188986,0,1,0,0,1,66,494,1,0,5,2,3,13.704580114574805,895000.0
22.0,150000.0,6818.181818181818,9,1298.0,87.0,0.06702619414483821,0,0,0,0,0,66,510,0,1,4,7,3,13.279368835614243,585000.0
1.0,6001.0,6001.0,0,1500.0,225.0,0.15,1,1,0,0,1,62,456,2,1,4,13,3,14.72979968796928,2495000.0
1.0,6001.0,6001.0,0,1300.0,225.0,0.17307692307692307,1,1,0,0,1,62,456,2,1,4,18,3,14.715672314412528,2460000.0
18.0,145500.0,8083.333333333333,0,998.0,69.0,0.06913827655310621,0,0,0,0,0,66,510,0,0,4,13,3,13.081543466215237,480000.0
26.0,375000.0,14423.076923076924,13,1299.0,86.0,0.06620477290223249,0,0,0,0,0,66,510,4,0,4,12,3,12.834683971615659,375000.0
4.0,85930.0,21482.5,8,1490.0,125.0,0.08389261744966443,0,0,1,0,0,66,510,0,1,4,6,3,14.070153551531353,1290000.0
23.0,183500.0,7978.260869565217,14,998.0,65.0,0.06513026052104208,0,0,0,0,0,66,510,0,2,4,21,3,13.036807667689546,459000.0
9.0,48400.0,5377.777777777777,1,1496.0,111.0,0.07419786096256685,0,0,0,0,0,66,510,4,1,4,2,3,14.006131744018864,1210000.0
13.0,108000.0,8307.692307692309,7,1329.0,99.0,0.0744920993227991,0,1,0,0,0,66,510,0,1,4,2,3,13.675099554994853,869000.0
13.0,105000.0,8076.923076923077,6,1329.0,99.0,0.0744920993227991,0,0,0,0,0,66,510,0,0,4,2,3,13.721200977393528,910000.0
19.0,238000.0,12526.315789473685,5,1364.0,90.0,0.06598240469208211,0,0,0,0,0,66,510,1,2,4,6,3,13.353476685668044,630000.0
15.0,96000.0,6400.0,12,1329.0,101.0,0.07599699021820917,0,0,0,1,0,66,510,4,2,4,5,3,13.369225017834633,640000.0
19.0,259000.0,13631.578947368422,6,1296.0,87.0,0.06712962962962964,0,0,0,0,0,66,510,0,0,4,13,3,13.07107218827772,475000.0
12.0,198000.0,16500.0,3,1329.0,99.0,0.0744920993227991,0,1,0,0,1,66,510,4,0,4,2,3,13.457407451830088,699000.0
14.0,158850.0,11346.42857142857,9,1329.0,99.0,0.0744920993227991,0,1,0,0,1,66,510,0,1,4,8,3,13.627976640389322,829000.0
11.0,33000.0,3000.0,5,1329.0,99.0,0.0744920993227991,0,1,0,0,1,66,510,0,1,4,2,3,13.901689171636098,1090000.0
15.0,170000.0,11333.333333333334,2,1329.0,101.0,0.07599699021820917,0,1,0,0,1,66,510,4,2,4,18,3,13.541073712262515,759999.0
9.0,47500.0,5277.777777777777,0,1496.0,111.0,0.07419786096256685,0,1,0,0,1,66,510,0,1,4,2,3,13.99699926803766,1199000.0
13.0,57000.0,4384.615384615385,0,1329.0,99.0,0.0744920993227991,0,1,0,0,1,66,510,0,1,4,3,3,13.8915461710239,1079000.0
10.0,105000.0,10500.0,0,1200.0,75.0,0.0625,0,1,0,0,1,66,510,0,0,4,2,3,13.547632419997361,765000.0
10.0,110000.0,11000.0,2,1329.0,99.0,0.0744920993227991,0,1,0,0,1,66,510,0,1,4,2,3,13.909912143303451,1099000.0
20.0,141000.0,7050.0,2,998.0,69.0,0.06913827655310621,0,1,0,0,1,66,510,0,0,4,18,3,13.120363378739663,499000.0
17.0,273000.0,16058.823529411764,0,1600.0,132.0,0.0825,0,0,0,0,0,66,494,4,0,5,5,3,13.429849547739444,680000.0
11.0,75000.0,6818.181818181818,0,1598.0,132.0,0.08260325406758448,0,1,0,0,1,66,494,0,0,5,1,3,14.126665719201661,1365000.0
16.0,181004.0,11312.75,5,1598.0,132.0,0.08260325406758448,0,1,0,0,1,66,494,4,0,5,15,3,13.698977865303197,890000.0
21.0,305000.0,14523.809523809523,14,1598.0,132.0,0.08260325406758448,0,1,0,0,1,66,494,4,0,5,6,3,13.049794835104816,465000.0
10.0,202000.0,20200.0,13,1598.0,132.0,0.08260325406758448,0,0,0,0,0,66,494,4,0,5,2,3,13.384729180332174,650000.0
17.0,157000.0,9235.29411764706,1,1598.0,132.0,0.08260325406758448,0,0,0,0,0,66,494,4,0,5,14,3,13.774689605110144,960000.0
15.0,271000.0,18066.666666666668,6,1900.0,150.0,0.07894736842105263,0,1,0,0,0,66,494,1,0,5,2,3,13.47653659463273,712500.0
15.0,183660.0,12244.0,8,1600.0,132.0,0.0825,0,0,0,0,1,66,494,4,0,5,2,3,13.579789490265188,790000.0
